id,date,hour,lan,lon
AL041907,19071020,0000,37.6,-49.1
AL051907,19071106,0000,31.5,-39.7
AL051907,19071106,0600,30.8,-39.9
AL051907,19071106,1200,30.0,-40.0
AL051907,19071106,1800,29.5,-40.1
AL051907,19071107,0000,28.9,-40.2
AL051907,19071107,0600,28.2,-40.3
AL051907,19071107,1200,27.5,-40.5
AL051907,19071107,1800,27.2,-40.9
AL051907,19071108,0000,26.9,-41.4
AL051907,19071108,0600,26.7,-41.9
AL051907,19071108,1200,26.7,-42.5
AL051907,19071108,1800,27.2,-43.5
AL051907,19071109,0000,28.1,-44.0
AL051907,19071109,0600,29.1,-44.2
AL051907,19071109,1200,30.0,-44.5
AL051907,19071109,1800,30.8,-44.7
AL051907,19071110,0000,31.8,-45.0
AL051907,19071110,0600,32.6,-45.4
AL051907,19071110,1200,33.5,-46.0
AL051907,19071110,1800,34.1,-46.4
AL051907,19071111,0000,34.7,-46.9
AL051907,19071111,0600,35.4,-47.6
AL051907,19071111,1200,36.5,-48.0
AL051907,19071111,1800,37.7,-48.0
AL051907,19071112,0000,38.7,-47.3
AL051907,19071112,0600,39.6,-46.7
AL051907,19071112,1200,40.5,-46.0
AL051907,19071112,1800,41.7,-45.0
AL011908,19080306,1200,23.8,-60.2
AL011908,19080306,1800,22.7,-60.7
AL011908,19080307,0000,21.6,-61.1
AL011908,19080307,0600,20.6,-61.5
AL011908,19080307,1200,19.7,-61.9
AL011908,19080307,1800,18.8,-62.2
AL011908,19080308,0000,18.0,-62.5
AL011908,19080308,0600,17.3,-62.8
AL011908,19080308,1200,16.6,-63.1
AL011908,19080308,1800,16.0,-63.4
AL011908,19080309,0000,15.4,-63.7
AL011908,19080309,0600,14.9,-64.0
AL011908,19080309,1200,14.4,-64.2
AL011908,19080309,1800,13.8,-64.6
AL021908,19080524,1200,21.0,-71.7
AL021908,19080524,1800,21.7,-72.0
AL021908,19080525,0000,22.4,-72.3
AL021908,19080525,0600,23.3,-72.8
AL021908,19080525,1200,24.0,-73.5
AL021908,19080525,1800,24.7,-74.3
AL021908,19080526,0000,25.4,-75.0
AL021908,19080526,0600,26.0,-75.6
AL021908,19080526,1200,26.7,-76.3
AL021908,19080526,1800,27.2,-77.3
AL021908,19080527,0000,27.7,-78.1
AL021908,19080527,0600,28.5,-79.1
AL021908,19080527,1200,29.5,-79.5
AL021908,19080527,1800,30.1,-79.5
AL021908,19080528,0000,30.6,-79.2
AL021908,19080528,0600,31.2,-78.8
AL021908,19080528,1200,31.7,-78.3
AL021908,19080528,1800,32.3,-77.9
AL021908,19080529,0000,32.8,-77.4
AL021908,19080529,0600,33.4,-77.0
AL021908,19080529,1200,34.0,-76.5
AL021908,19080529,1800,34.8,-75.8
AL021908,19080529,2100,35.2,-75.6
AL021908,19080530,0000,35.6,-75.1
AL021908,19080530,0600,36.3,-74.6
AL021908,19080530,1200,37.3,-74.0
AL021908,19080530,1800,39.4,-73.0
AL021908,19080530,2300,41.3,-72.0
AL021908,19080531,0000,41.8,-71.7
AL021908,19080531,0600,43.8,-70.3
AL021908,19080531,1200,45.5,-69.0
AL021908,19080531,1800,46.4,-68.3
AL031908,19080724,1200,27.5,-75.0
AL031908,19080724,1800,27.8,-75.2
AL031908,19080725,0000,28.1,-75.5
AL031908,19080725,0600,28.4,-75.9
AL031908,19080725,1200,28.7,-76.3
AL031908,19080725,1800,28.9,-76.6
AL031908,19080726,0000,29.0,-76.9
AL031908,19080726,0600,29.0,-77.2
AL031908,19080726,1200,29.0,-77.5
AL031908,19080726,1800,28.9,-77.8
AL031908,19080727,0000,28.7,-78.0
AL031908,19080727,0600,28.3,-78.3
AL031908,19080727,1200,27.7,-78.5
AL031908,19080727,1800,27.3,-78.3
AL031908,19080728,0000,27.1,-77.7
AL031908,19080728,0600,27.1,-77.2
AL031908,19080728,1200,27.3,-77.0
AL031908,19080728,1800,27.7,-77.0
AL031908,19080729,0000,28.0,-77.5
AL031908,19080729,0600,28.2,-77.9
AL031908,19080729,1200,28.5,-78.0
AL031908,19080729,1800,29.4,-78.3
AL031908,19080730,0000,30.4,-78.3
AL031908,19080730,0600,31.4,-78.2
AL031908,19080730,1200,32.5,-78.0
AL031908,19080730,1800,33.1,-77.9
AL031908,19080731,0000,33.7,-77.6
AL031908,19080731,0600,34.2,-77.4
AL031908,19080731,1100,34.6,-77.1
AL031908,19080731,1200,34.7,-77.0
AL031908,19080731,1800,35.2,-75.8
AL031908,19080801,0000,35.6,-74.1
AL031908,19080801,0600,36.1,-72.8
AL031908,19080801,1200,36.5,-71.7
AL031908,19080801,1800,37.2,-70.0
AL031908,19080802,0000,37.8,-68.5
AL031908,19080802,0600,38.7,-66.9
AL031908,19080802,1200,40.0,-65.5
AL031908,19080802,1800,41.7,-63.0
AL031908,19080803,0000,44.0,-60.6
AL031908,19080803,0600,46.3,-58.5
AL031908,19080803,1200,48.5,-56.5
AL031908,19080803,1800,50.6,-54.3
